id_mutation,date_mutation,annee,adresse,voie,commune,nb_pieces,surface_m2,prix_eur,eur_m2,distance_m,latitude,longitude
2022-1642034,2022-01-03,2022,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,25.0,290000,11600,260,48.881252,2.346927
2022-1641281,2022-01-04,2022,54 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,71.0,887550,12501,167,48.881911,2.347982
2022-1641843,2022-01-06,2022,83 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,37.0,400000,10811,178,48.88243,2.346408
2022-1642261,2022-01-07,2022,8 AV TRUDAINE,AV TRUDAINE,75109,1,10.0,116500,11650,262,48.88195,2.345519
2022-1641378,2022-01-10,2022,10 RUE SEVESTE,RUE SEVESTE,75118,3,45.0,552000,12267,261,48.883857,2.344858
2022-1641426,2022-01-17,2022,28 RUE PETRELLE,RUE PETRELLE,75109,1,33.0,387210,11734,288,48.880974,2.346963
2022-1642664,2022-01-17,2022,3 RUE BOISSIEU,RUE BOISSIEU,75118,2,32.0,328906,10278,101,48.884225,2.348915
2022-1643000,2022-01-18,2022,24 BD BARBES,BD BARBES,75118,3,78.0,775157,9938,256,48.885449,2.349917
2022-1641852,2022-01-20,2022,5 RUE SEVESTE,RUE SEVESTE,75118,3,50.0,252000,5040,275,48.883596,2.344614
2022-1642046,2022-01-21,2022,6 RUE CHRISTIANI,RUE CHRISTIANI,75118,5,110.0,955500,8686,287,48.885933,2.349001
2022-1642433,2022-01-24,2022,29 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,3,47.0,557900,11870,202,48.882848,2.345727
2022-1641953,2022-01-25,2022,4 SQ PETRELLE,SQ PETRELLE,75109,2,30.0,261500,8717,297,48.880788,2.34924
2022-1642164,2022-01-27,2022,69 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,5,82.0,1076000,13122,227,48.881377,2.34782
2022-1642373,2022-01-28,2022,54 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,48.0,635000,13229,167,48.881911,2.347982
2022-1642737,2022-01-28,2022,2 RUE BERVIC,RUE BERVIC,75118,3,80.0,860000,10750,105,48.884202,2.349088
2022-1642062,2022-02-01,2022,17 RUE DE SOFIA,RUE DE SOFIA,75118,1,21.0,248000,11810,110,48.884306,2.347791
2022-1642703,2022-02-02,2022,189 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,33.0,316000,9576,39,48.883058,2.348545
2022-1642347,2022-02-02,2022,13 RUE DE SOFIA,RUE DE SOFIA,75118,2,30.0,318000,10600,123,48.88449,2.348168
2022-1643749,2022-02-03,2022,159 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,3,45.0,578300,12851,289,48.880897,2.349494
2022-1642277,2022-02-03,2022,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,3,48.0,428000,8917,262,48.88553,2.346845
2022-1642532,2022-02-04,2022,155 BD DE MAGENTA,BD DE MAGENTA,75109,1,10.0,100000,10000,55,48.883314,2.349106
2022-1643289,2022-02-04,2022,25 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,3,50.0,571950,11439,176,48.882939,2.346053
2022-1643624,2022-02-04,2022,12 BD BARBES,BD BARBES,75118,4,105.0,761150,7249,187,48.884567,2.350197
2022-1643041,2022-02-07,2022,4 RUE D ORSEL,RUE D ORSEL,75118,2,34.0,335000,9853,161,48.8842,2.346534
2022-1643887,2022-02-11,2022,15 RUE D ORSEL,RUE D ORSEL,75118,2,33.0,346000,10485,212,48.883933,2.345578
2022-1643219,2022-02-18,2022,7 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,3,73.0,502000,6877,19,48.883255,2.348514
2022-1643531,2022-02-18,2022,27 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,2,45.0,633038,14068,189,48.882899,2.345892
2022-1643650,2022-02-18,2022,19 RUE DU DELTA,RUE DU DELTA,75109,2,32.0,363000,11344,146,48.882293,2.347257
2022-1644842,2022-02-24,2022,9 RUE D ORSEL,RUE D ORSEL,75118,2,37.0,384800,10400,163,48.883851,2.346245
2022-1643983,2022-02-25,2022,5 RUE SEVESTE,RUE SEVESTE,75118,2,25.0,306400,12256,275,48.883596,2.344614
2022-1644089,2022-02-28,2022,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,38.0,508300,13376,192,48.881697,2.348896
2022-1643854,2022-03-01,2022,55 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,40.0,427900,10698,264,48.881079,2.349205
2022-1644642,2022-03-08,2022,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,7,190.0,2276550,11982,192,48.881697,2.348896
2022-1644599,2022-03-10,2022,7 RUE CHRISTIANI,RUE CHRISTIANI,75118,2,46.0,470000,10217,196,48.885128,2.34881
2022-1644622,2022-03-10,2022,10 RUE DES ISLETTES,RUE DES ISLETTES,75118,3,65.0,530000,8154,235,48.884475,2.351123
2022-1645376,2022-03-11,2022,20 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,3,47.0,505000,10745,214,48.885276,2.34776
2022-1644575,2022-03-14,2022,21 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,2,28.0,350000,12500,149,48.883062,2.34638
2022-1644886,2022-03-14,2022,9 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,4,85.0,880000,10353,22,48.883224,2.348194
2022-1645173,2022-03-14,2022,6 RUE PETRELLE,RUE PETRELLE,75109,5,98.0,1420000,14490,298,48.880732,2.348869
2022-1644667,2022-03-14,2022,112 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,4,80.0,760000,9500,209,48.884172,2.350964
2022-1645086,2022-03-14,2022,4 RUE CHRISTIANI,RUE CHRISTIANI,75118,3,42.0,447700,10660,282,48.885871,2.349169
2022-1644681,2022-03-16,2022,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,3,52.0,425000,8173,278,48.885472,2.350465
2022-1645260,2022-03-17,2022,120 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,2,29.0,278500,9603,179,48.884286,2.350401
2022-1646687,2022-03-21,2022,8 RUE DU DELTA,RUE DU DELTA,75109,4,110.0,1437000,13064,75,48.882719,2.348439
2022-1645465,2022-03-21,2022,24 BD BARBES,BD BARBES,75118,3,70.0,812725,11610,256,48.885449,2.349917
2022-1645592,2022-03-25,2022,5 RUE DE SOFIA,RUE DE SOFIA,75118,1,15.0,105000,7000,128,48.884466,2.348984
2022-1646022,2022-03-29,2022,10 RUE GERANDO,RUE GERANDO,75109,1,13.0,161000,12385,195,48.882456,2.346111
2022-1646260,2022-04-01,2022,93 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,9.0,95000,10556,270,48.88248,2.344931
2022-1646933,2022-04-01,2022,193 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,4,100.0,984400,9844,59,48.883225,2.349125
2022-1646072,2022-04-01,2022,28 BD ROCHECHOUART,BD ROCHECHOUART,75118,3,65.0,788450,12130,68,48.883854,2.347762
2022-1646936,2022-04-04,2022,11 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,1,17.0,170000,10000,31,48.883234,2.348008
2022-1646562,2022-04-04,2022,36 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,17.0,146500,8618,88,48.883827,2.347348
2022-1646117,2022-04-07,2022,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,55.0,700000,12727,240,48.884938,2.346068
2022-1646217,2022-04-11,2022,82 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,44.0,515000,11705,156,48.882308,2.347001
2022-1647171,2022-04-11,2022,15 RUE DE SOFIA,RUE DE SOFIA,75118,1,33.0,307000,9303,110,48.884306,2.347791
2022-1647079,2022-04-12,2022,6 IMP DU CADRAN,IMP DU CADRAN,75118,2,24.0,270000,11250,191,48.883713,2.345794
2022-1647089,2022-04-12,2022,4 RUE D ORSEL,RUE D ORSEL,75118,1,11.0,113000,10273,161,48.8842,2.346534
2022-1646609,2022-04-13,2022,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,2,52.0,526815,10131,262,48.88553,2.346845
2022-1646792,2022-04-15,2022,30 BD ROCHECHOUART,BD ROCHECHOUART,75118,3,86.0,740000,8605,73,48.883828,2.347612
2022-1647117,2022-04-15,2022,5 RUE CHRISTIANI,RUE CHRISTIANI,75118,3,71.0,837150,11791,196,48.885128,2.34881
2022-1647263,2022-04-15,2022,8 RUE BELHOMME,RUE BELHOMME,75118,3,55.0,597000,10855,98,48.884228,2.348763
2022-1647706,2022-04-19,2022,8 RUE BOISSIEU,RUE BOISSIEU,75118,2,30.0,316130,10538,130,48.8845,2.348924
2022-1647134,2022-04-20,2022,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,16.0,175000,10938,240,48.884938,2.346068
2022-1646994,2022-04-21,2022,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,3,51.0,350000,6863,278,48.885472,2.350465
2022-1648672,2022-04-25,2022,13 RUE GERANDO,RUE GERANDO,75109,3,69.0,865000,12536,198,48.882735,2.345837
2022-1647824,2022-04-26,2022,79 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,46.0,601000,13065,193,48.882225,2.346412
2022-1647384,2022-04-27,2022,189 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,33.0,349000,10576,39,48.883058,2.348545
2022-1647737,2022-04-29,2022,15 RUE DE SOFIA,RUE DE SOFIA,75118,4,84.0,1179812,14045,110,48.884306,2.347791
2022-1648357,2022-04-29,2022,13 RUE DE SOFIA,RUE DE SOFIA,75118,3,50.0,574000,11480,123,48.88449,2.348168
2022-1648875,2022-05-02,2022,8 RUE DU DELTA,RUE DU DELTA,75109,2,46.0,455000,9891,75,48.882719,2.348439
2022-1648625,2022-05-04,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,46.0,523400,11378,216,48.881589,2.347274
2022-1648163,2022-05-04,2022,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,32.0,375000,11719,110,48.884306,2.347791
2022-1648059,2022-05-05,2022,54 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,55.0,595000,10818,167,48.881911,2.347982
2022-1648091,2022-05-09,2022,28 BD ROCHECHOUART,BD ROCHECHOUART,75118,3,55.0,670000,12182,68,48.883854,2.347762
2022-1648233,2022-05-10,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,36.0,475000,13194,216,48.881589,2.347274
2022-1649801,2022-05-11,2022,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,5,83.0,1040000,12530,192,48.881697,2.348896
2022-1649704,2022-05-11,2022,16 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,2,30.0,400000,13333,176,48.884848,2.347424
2022-1648480,2022-05-12,2022,75 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,63.0,734000,11651,263,48.881548,2.346116
2022-1649254,2022-05-12,2022,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,3,47.0,404900,8615,278,48.885472,2.350465
2022-1649421,2022-05-12,2022,42 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,33.0,340000,10303,155,48.883636,2.346275
2022-1649203,2022-05-16,2022,19 BD BARBES,BD BARBES,75118,2,44.0,235000,5341,278,48.885823,2.349258
2022-1649048,2022-05-17,2022,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,27.0,340000,12593,110,48.884306,2.347791
2022-1650090,2022-05-19,2022,62 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,17.0,180000,10588,174,48.882063,2.347101
2022-1649171,2022-05-19,2022,7 RUE D ORSEL,RUE D ORSEL,75118,2,37.0,399000,10784,163,48.883851,2.346245
2022-1649459,2022-05-23,2022,69 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,5,82.0,1431650,17459,227,48.881377,2.34782
2022-1649255,2022-05-24,2022,34 RUE PETRELLE,RUE PETRELLE,75109,3,87.0,1070000,12299,292,48.880996,2.34673
2022-1649364,2022-05-24,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,95.0,1040000,10947,216,48.881589,2.347274
2022-1649885,2022-05-24,2022,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,26.0,331500,12750,260,48.881252,2.346927
2022-1649748,2022-05-24,2022,7 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,3,52.0,650000,12500,266,48.884196,2.344928
2022-1649930,2022-05-24,2022,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,3,50.0,400000,8000,262,48.88553,2.346845
2022-1650396,2022-05-25,2022,15 RUE DU DELTA,RUE DU DELTA,75109,2,47.0,340000,7234,138,48.882262,2.347576
2022-1650335,2022-05-30,2022,8 RUE DU DELTA,RUE DU DELTA,75109,3,64.0,725000,11328,75,48.882719,2.348439
2022-1649340,2022-06-01,2022,5 RUE GERANDO,RUE GERANDO,75109,3,55.0,774722,14086,264,48.882242,2.345193
2022-1650406,2022-06-01,2022,4 RUE D ORSEL,RUE D ORSEL,75118,1,24.0,285000,11875,161,48.8842,2.346534
2022-1650474,2022-06-02,2022,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,3,49.0,635000,12959,240,48.884938,2.346068
2022-1650266,2022-06-03,2022,42 RUE DE LA CHARBONNIERE,RUE DE LA CHARBONNIERE,75118,3,79.0,555000,7025,258,48.884203,2.351668
2022-1651403,2022-06-08,2022,4 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,2,67.0,635000,9478,212,48.884878,2.346544
2022-1650231,2022-06-09,2022,60 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,22.0,277000,12591,162,48.882099,2.347346
2022-1651696,2022-06-10,2022,55 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,14.0,70000,5000,264,48.881079,2.349205
2022-1650273,2022-06-13,2022,177 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,12.0,125000,10417,165,48.882037,2.349268
2022-1651086,2022-06-15,2022,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,18.0,190000,10556,262,48.88553,2.346845
2022-1652212,2022-06-15,2022,4 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,2,62.0,620000,10000,212,48.884878,2.346544
2022-1650520,2022-06-16,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,26.0,317500,12212,216,48.881589,2.347274
2022-1651087,2022-06-16,2022,9 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,1,38.0,345000,9079,22,48.883224,2.348194
2022-1650857,2022-06-20,2022,38 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,9.0,89000,9889,252,48.881284,2.349615
2022-1651163,2022-06-21,2022,6 RUE SEVESTE,RUE SEVESTE,75118,2,31.0,334650,10795,232,48.883626,2.345206
2022-1651495,2022-06-22,2022,12 RUE DU DELTA,RUE DU DELTA,75109,4,100.0,1200000,12000,52,48.882925,2.348269
2022-1652341,2022-06-27,2022,189 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,3,49.0,534115,10900,39,48.883058,2.348545
2022-1652169,2022-06-27,2022,6 IMP DU CADRAN,IMP DU CADRAN,75118,2,25.0,270000,10800,191,48.883713,2.345794
2022-1652323,2022-06-28,2022,189 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,31.0,300000,9677,39,48.883058,2.348545
2022-1651440,2022-06-29,2022,7 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,2,40.0,388000,9700,269,48.885594,2.346837
2022-1651620,2022-07-01,2022,5 RUE SEVESTE,RUE SEVESTE,75118,2,35.0,299200,8549,275,48.883596,2.344614
2022-1653780,2022-07-01,2022,10 RUE PIERRE PICARD,RUE PIERRE PICARD,75118,1,27.0,291650,10802,240,48.884938,2.346068
2022-1653143,2022-07-05,2022,193 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,41.0,400000,9756,59,48.883225,2.349125
2022-1652624,2022-07-06,2022,91 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,53.0,570000,10755,264,48.882397,2.345079
2022-1652645,2022-07-07,2022,28 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,12.0,173000,14417,68,48.883854,2.347762
2022-1652382,2022-07-08,2022,64 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,62.0,895500,14444,280,48.881058,2.34691
2022-1653371,2022-07-08,2022,15 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,3,40.0,493900,12348,299,48.885536,2.345892
2022-1653696,2022-07-08,2022,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,3,50.0,487500,9750,278,48.885472,2.350465
2022-1652524,2022-07-11,2022,6 RUE DES ISLETTES,RUE DES ISLETTES,75118,3,57.0,530000,9298,227,48.884381,2.351074
2022-1653939,2022-07-11,2022,102 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,3,46.0,280000,6087,251,48.884307,2.351498
2022-1653472,2022-07-12,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,45.0,496300,11029,216,48.881589,2.347274
2022-1653978,2022-07-12,2022,44 BD ROCHECHOUART,BD ROCHECHOUART,75118,3,51.0,615000,12059,152,48.883584,2.346301
2022-1652911,2022-07-13,2022,120 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,4,90.0,812850,9032,179,48.884286,2.350401
2022-1653081,2022-07-18,2022,7 AV TRUDAINE,AV TRUDAINE,75109,1,51.0,615000,12059,279,48.881515,2.345819
2022-1654452,2022-07-18,2022,60 BD ROCHECHOUART,BD ROCHECHOUART,75118,2,30.0,405000,13500,259,48.883353,2.344824
2022-1653076,2022-07-19,2022,6 RUE DU DELTA,RUE DU DELTA,75109,1,30.0,280000,9333,91,48.882692,2.349015
2022-1653057,2022-07-22,2022,7 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,2,31.0,384000,12387,19,48.883255,2.348514
2022-1655035,2022-07-22,2022,63 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,1,12.0,117000,9750,224,48.885013,2.35018
2022-1655061,2022-07-26,2022,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,19.0,244800,12884,74,48.882927,2.347633
2022-1655353,2022-07-26,2022,60 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,29.0,354000,12207,162,48.882099,2.347346
2022-1653909,2022-07-26,2022,48 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,2,32.0,248000,7750,291,48.885487,2.350733
2022-1654367,2022-07-27,2022,19 BD BARBES,BD BARBES,75118,2,50.0,525000,10500,278,48.885823,2.349258
2022-1653815,2022-07-28,2022,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,3,48.0,559630,11659,74,48.882927,2.347633
2022-1654788,2022-08-02,2022,21 BD BARBES,BD BARBES,75118,4,56.0,735185,13128,295,48.885995,2.349136
2022-1655477,2022-08-02,2022,13 RUE DE SOFIA,RUE DE SOFIA,75118,2,27.0,278450,10313,123,48.88449,2.348168
2022-1654584,2022-08-03,2022,76 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,30.0,409800,13660,180,48.882079,2.346911
2022-1655132,2022-08-04,2022,4 SQ PETRELLE,SQ PETRELLE,75109,4,88.0,883495,10040,297,48.880788,2.34924
2022-1654891,2022-08-05,2022,5 RUE SEVESTE,RUE SEVESTE,75118,2,42.0,395000,9405,275,48.883596,2.344614
2022-1654989,2022-08-09,2022,2 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,2,50.0,700850,14017,215,48.88435,2.345814
2022-1656284,2022-08-25,2022,21 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,1,20.0,159000,7950,149,48.883062,2.34638
2022-1656346,2022-08-30,2022,28 BD ROCHECHOUART,BD ROCHECHOUART,75118,3,51.0,645000,12647,68,48.883854,2.347762
2022-1655694,2022-08-31,2022,191 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,27.0,275000,10185,60,48.883109,2.349064
2022-1656898,2022-08-31,2022,167 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,32.0,285000,8906,240,48.881375,2.349546
2022-1656763,2022-08-31,2022,58 BD ROCHECHOUART,BD ROCHECHOUART,75118,1,18.0,170000,9444,252,48.883361,2.344915
2022-1656911,2022-09-02,2022,12 BD BARBES,BD BARBES,75118,4,105.0,860100,8191,187,48.884567,2.350197
2022-1655871,2022-09-05,2022,72 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,65.0,558590,8594,197,48.882366,2.346166
2022-1656360,2022-09-05,2022,2 RUE BRIQUET,RUE BRIQUET,75118,2,14.0,112000,8000,299,48.883502,2.344279
2022-1657427,2022-09-06,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,96.0,1270000,13229,216,48.881589,2.347274
2022-1655990,2022-09-07,2022,13 RUE GERANDO,RUE GERANDO,75109,4,60.0,882880,14715,198,48.882735,2.345837
2022-1656808,2022-09-07,2022,155 BD DE MAGENTA,BD DE MAGENTA,75109,6,181.0,1150000,6354,55,48.883314,2.349106
2022-1656494,2022-09-13,2022,13 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,2,37.0,449150,12139,287,48.885492,2.346091
2022-1658296,2022-09-16,2022,89 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,58.0,743850,12825,261,48.882326,2.345176
2022-1657009,2022-09-16,2022,12 RUE D ORSEL,RUE D ORSEL,75118,1,13.0,191560,14735,251,48.884166,2.345136
2022-1657406,2022-09-16,2022,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,2,51.0,521739,10230,262,48.88553,2.346845
2022-1658469,2022-09-19,2022,193 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,4,85.0,808600,9513,59,48.883225,2.349125
2022-1657137,2022-09-20,2022,71 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,50.0,620000,12400,216,48.881589,2.347274
2022-1657787,2022-09-20,2022,62 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,37.0,430000,11622,174,48.882063,2.347101
2022-1658130,2022-09-21,2022,17 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,5,84.0,920000,10952,67,48.883125,2.347535
2022-1658891,2022-09-23,2022,17 RUE GERANDO,RUE GERANDO,75109,2,41.0,481000,11732,174,48.882893,2.346098
2022-1657549,2022-09-26,2022,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,51.0,548400,10753,192,48.881697,2.348896
2022-1658790,2022-09-26,2022,15 RUE GERANDO,RUE GERANDO,75109,1,22.0,256200,11645,186,48.882789,2.345992
2022-1658481,2022-09-26,2022,6 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,2,54.0,480000,8889,110,48.884306,2.347791
2022-1658613,2022-09-27,2022,92 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,17.0,135000,7941,74,48.882927,2.347633
2022-1658202,2022-09-27,2022,9 RUE D ORSEL,RUE D ORSEL,75118,1,20.0,102000,5100,163,48.883851,2.346245
2022-1657886,2022-09-29,2022,9 RUE DU DELTA,RUE DU DELTA,75109,2,68.0,713850,10498,139,48.882139,2.348256
2022-1658285,2022-09-30,2022,54 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,49.0,604200,12331,167,48.881911,2.347982
2022-1658844,2022-09-30,2022,54 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,4,68.0,998000,14676,167,48.881911,2.347982
2022-1658885,2022-09-30,2022,6 AV TRUDAINE,AV TRUDAINE,75109,3,56.0,600000,10714,248,48.88202,2.345679
2022-1658576,2022-10-03,2022,83 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,2,23.0,255000,11087,178,48.88243,2.346408
2022-1659245,2022-10-04,2022,56 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,2,35.0,330000,9429,166,48.881947,2.347787
2022-1658872,2022-10-04,2022,9 BD BARBES,BD BARBES,75118,2,16.0,148000,9250,185,48.884958,2.349209
2022-1658474,2022-10-06,2022,31 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,3,50.0,618800,12376,213,48.882886,2.345544
2022-1658913,2022-10-11,2022,72 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,6,104.0,1221300,11743,221,48.881676,2.346845
2022-1658966,2022-10-11,2022,6 RUE GERANDO,RUE GERANDO,75109,1,9.0,95000,10556,248,48.882067,2.345634
2022-1660121,2022-10-11,2022,13 RUE GERANDO,RUE GERANDO,75109,2,69.0,712000,10319,198,48.882735,2.345837
2022-1659378,2022-10-14,2022,7 RUE CHRISTIANI,RUE CHRISTIANI,75118,2,53.0,470000,8868,196,48.885128,2.34881
2022-1659788,2022-10-14,2022,120 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,2,30.0,190000,6333,179,48.884286,2.350401
2022-1660857,2022-10-27,2022,120 BD DE LA CHAPELLE,BD DE LA CHAPELLE,75118,2,38.0,223000,5868,179,48.884286,2.350401
2022-1659956,2022-10-28,2022,22 RUE PETRELLE,RUE PETRELLE,75109,5,86.0,1240750,14427,283,48.880895,2.347587
2022-1660972,2022-10-28,2022,50 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,2,36.0,292000,8111,278,48.885472,2.350465
2022-1661059,2022-11-04,2022,59 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,1,13.0,126000,9692,251,48.88115,2.348815
2022-1660897,2022-11-04,2022,13 RUE DE SOFIA,RUE DE SOFIA,75118,2,24.0,272500,11354,123,48.88449,2.348168
2022-1660450,2022-11-09,2022,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,1,45.0,420000,9333,262,48.88553,2.346845
2022-1660712,2022-11-10,2022,16 RUE DU DELTA,RUE DU DELTA,75109,3,34.0,430000,12647,94,48.882583,2.347984
2022-1661044,2022-11-10,2022,175 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,28.0,311002,11107,192,48.881697,2.348896
2022-1661406,2022-11-15,2022,10 AV TRUDAINE,AV TRUDAINE,75109,2,45.0,490000,10889,273,48.88192,2.345372
2022-1661062,2022-11-16,2022,10 RUE SEVESTE,RUE SEVESTE,75118,2,39.0,428572,10989,261,48.883857,2.344858
2022-1660907,2022-11-18,2022,7 AV TRUDAINE,AV TRUDAINE,75109,3,49.0,574780,11730,279,48.881515,2.345819
2022-1661991,2022-11-18,2022,18 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,2,35.0,386000,11029,208,48.885188,2.347585
2022-1661165,2022-11-22,2022,4 SQ PETRELLE,SQ PETRELLE,75109,5,91.0,1094400,12026,297,48.880788,2.34924
2022-1661677,2022-11-23,2022,78 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,10.0,93000,9300,175,48.882142,2.346914
2022-1661423,2022-11-25,2022,27 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,2,41.0,420000,10244,189,48.882899,2.345892
2022-1661670,2022-11-30,2022,185 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,2,42.0,478605,11395,95,48.882741,2.349211
